ENSG00000013503	"Hsap38.chr12.106472371.106475922.-"
ENSG00000236366	"Hsap38.chr6.142580762.142582009.+"
ENSG00000105976	"Hsap38.chr7.116720066.116721505.-"
ENSG00000131844	"Hsap38.chr5.71605802.71607793.-"
ENSG00000174206	"Hsap38.chr12.64197546.64201397.+"
ENSG00000237037	"Hsap38.chr22.42105579.42106190.-"
ENSG00000243024	"Hsap38.chr12.64289326.64291419.-"
ENSG00000185306	"Hsap38.chr12.64289326.64291419.-"
ENSG00000165490	"Hsap38.chr11.82919075.82919407.-"
ENSG00000106034	"Hsap38.chr7.121251167.121251697.+"
ENSG00000137509	"Hsap38.chr11.82964214.82964552.-"
ENSG00000132155	"Hsap38.chr3.12639319.12639756.+"
ENSG00000284543	"Hsap38.chr1.31530502.31530780.-"
ENSG00000258272	"Hsap38.chr12.96451207.96451662.+"
ENSG00000163902	"Hsap38.chr3.128667501.128668613.+"
ENSG00000105983	"Hsap38.chr7.156877967.156878320.+"
ENSG00000175782	"Hsap38.chr12.68757024.68757314.+"
ENSG00000163297	"Hsap38.chr4.79939679.79943527.+"
ENSG00000248975	"Hsap38.chr14.30174486.30175691.-"
ENSG00000081026	"Hsap38.chr1.113499162.113503010.+"
ENSG00000187118	"Hsap38.chr3.28272199.28272477.-"
ENSG00000049323	"Hsap38.chr2.33173398.33174699.+"
ENSG00000159685	"Hsap38.chr3.126804719.126805912.+"
ENSG00000251301	"Hsap38.chr12.68441588.68441917.+"
ENSG00000183715	"Hsap38.chr11.133328462.133329577.+"
ENSG00000130559	"Hsap38.chr9.135845356.135845727.+"
ENSG00000120519	"Hsap38.chr4.146353658.146354308.+"
ENSG00000163288	"Hsap38.chr4.47297354.47300032.+"
ENSG00000083642	"Hsap38.chr13.32603323.32604432.-"
ENSG00000137101	"Hsap38.chr9.35637959.35639038.+"
ENSG00000203585	"Hsap38.chr12.67551240.67552100.-"
ENSG00000226258	"Hsap38.chr3.6765655.6766335.-"
ENSG00000132746	"Hsap38.chr11.67676963.67677613.+"
ENSG00000138735	"Hsap38.chr4.119577184.119578692.+"
ENSG00000180347	"Hsap38.chr7.31623685.31625349.+"
ENSG00000169918	"Hsap38.chr15.31601685.31602581.+"
ENSG00000284393	"Hsap38.chr12.8160715.8161203.-"
ENSG00000168917	"Hsap38.chr3.136825464.136825910.-"
ENSG00000184669	"Hsap38.chr11.17028720.17030666.-"
ENSG00000258231	"Hsap38.chr12.58705844.58706749.-"
ENSG00000077942	"Hsap38.chr22.45557087.45557446.-"
ENSG00000114446	"Hsap38.chr3.108169805.108170161.+"
ENSG00000171817	"Hsap38.chr19.37556943.37557467.-"
ENSG00000171817	"Hsap38.chr19.37558191.37558715.-"
ENSG00000152583	"Hsap38.chr4.87484100.87485545.-"
ENSG00000110693	"Hsap38.chr11.16145130.16146860.+"
ENSG00000223646	"Hsap38.chr7.112642874.112643275.-"
ENSG00000080823	"Hsap38.chr14.102247255.102248076.+"
ENSG00000204104	"Hsap38.chr2.238373939.238374409.-"
ENSG00000284928	"Hsap38.chr1.64188791.64189273.+"
ENSG00000177414	"Hsap38.chr1.64255652.64256005.+"
ENSG00000163590	"Hsap38.chr3.161002058.161005138.-"
ENSG00000235162	"Hsap38.chr12.105311317.105313311.+"
ENSG00000257642	"Hsap38.chr12.105311317.105313311.+"
ENSG00000166532	"Hsap38.chr12.8765127.8765849.-"
ENSG00000171310	"Hsap38.chr12.104571720.104571962.-"
ENSG00000283154	"Hsap38.chr3.159095585.159099433.-"
ENSG00000164074	"Hsap38.chr4.128001071.128001583.-"
ENSG00000109794	"Hsap38.chr4.186110615.186113197.-"
ENSG00000250993	"Hsap38.chr4.179407430.179408008.+"
ENSG00000255801	"Hsap38.chr12.8560910.8561455.-"
ENSG00000250748	"Hsap38.chr12.65550104.65551864.-"
ENSG00000283361	"Hsap38.chr13.114217376.114218656.+"
ENSG00000114541	"Hsap38.chr3.69476035.69477378.-"
ENSG00000254154	"Hsap38.chr1.177989913.177991805.+"
ENSG00000188120	"Hsap38.chrY.23147194.23149074.+"
ENSG00000229457	"Hsap38.chr2.107295608.107295964.-"
ENSG00000080200	"Hsap38.chr3.97906818.97908803.-"
ENSG00000169789	"Hsap38.chrY.22496170.22496469.-"
ENSG00000165078	"Hsap38.chr8.67591812.67593545.-"
ENSG00000156206	"Hsap38.chr15.81123664.81124176.-"
ENSG00000096093	"Hsap38.chr6.52443701.52445092.-"
ENSG00000153132	"Hsap38.chr4.140416971.140419145.+"
ENSG00000215812	"Hsap38.chr1.227703663.227704193.+"
ENSG00000224853	"Hsap38.chr13.73454208.73456076.-"
ENSG00000091129	"Hsap38.chr7.108340387.108341214.+"
ENSG00000235535	"Hsap38.chr6.123474590.123477172.+"
ENSG00000232053	"Hsap38.chr7.136414877.136418254.-"
ENSG00000244681	"Hsap38.chr3.95658818.95660866.-"
ENSG00000185666	"Hsap38.chr22.32944350.32945306.+"
ENSG00000204148	"Hsap38.chr9.115918986.115920719.+"
ENSG00000017260	"Hsap38.chr3.130910034.130911440.-"
ENSG00000128739	"Hsap38.chr15.24942283.24942960.-"
ENSG00000232006	"Hsap38.chr7.43061067.43064801.+"
ENSG00000234749	"Hsap38.chr8.7566570.7566986.-"
ENSG00000116785	"Hsap38.chr1.196782075.196782941.-"
ENSG00000229161	"Hsap38.chr7.42800085.42800912.+"
ENSG00000089101	"Hsap38.chr20.20315964.20316905.-"
ENSG00000254170	"Hsap38.chr5.78712509.78713693.+"
ENSG00000230426	"Hsap38.chr1.187599627.187603478.+"
ENSG00000144218	"Hsap38.chr2.99741052.99741474.+"
ENSG00000235450	"Hsap38.chr7.91477671.91478978.-"
ENSG00000112394	"Hsap38.chr6.111133721.111134812.+"
ENSG00000205209	"Hsap38.chr19.34617083.34618081.-"
ENSG00000082175	"Hsap38.chr11.101073950.101074747.+"
ENSG00000168405	"Hsap38.chr6.25161384.25162547.+"
ENSG00000005108	"Hsap38.chr7.11678702.11679463.+"
ENSG00000283518	"Hsap38.chr1.214090311.214091009.-"
ENSG00000255388	"Hsap38.chr11.41548431.41548958.+"
ENSG00000160094	"Hsap38.chr1.33291855.33292253.-"
ENSG00000250426	"Hsap38.chr4.68203597.68204718.+"
ENSG00000023318	"Hsap38.chr9.100074857.100075603.+"
ENSG00000103196	"Hsap38.chr16.84856598.84857395.-"
ENSG00000239268	"Hsap38.chr3.117781748.117782254.+"
ENSG00000070081	"Hsap38.chr11.17341103.17341708.-"
ENSG00000143476	"Hsap38.chr1.212095081.212095374.-"
ENSG00000153498	"Hsap38.chr13.112408025.112408402.+"
ENSG00000282943	"Hsap38.chr19.43165414.43165755.-"
ENSG00000169902	"Hsap38.chr7.66287626.66289248.-"
ENSG00000158169	"Hsap38.chr9.95258193.95259347.+"
ENSG00000162989	"Hsap38.chr2.154768902.154769516.-"
ENSG00000257060	"Hsap38.chr15.93391763.93392512.-"
ENSG00000269839	"Hsap38.chr19.21235226.21235534.+"
ENSG00000278254	"Hsap38.chr7.9165293.9165601.-"
ENSG00000261553	"Hsap38.chr13.75729691.75730806.-"
ENSG00000162695	"Hsap38.chr1.100946173.100946490.-"
ENSG00000004455	"Hsap38.chr1.33066755.33067270.+"
ENSG00000269237	"Hsap38.chr19.21414480.21415589.-"
ENSG00000143324	"Hsap38.chr1.180866952.180870881.-"
ENSG00000135315	"Hsap38.chr6.84179848.84181038.+"
ENSG00000250453	"Hsap38.chr5.28800745.28803792.+"
ENSG00000232825	"Hsap38.chr1.99043422.99044000.+"
ENSG00000230427	"Hsap38.chr1.95064110.95064604.-"
ENSG00000256061	"Hsap38.chr15.55480239.55480796.+"
ENSG00000158623	"Hsap38.chr7.130580217.130582046.+"
ENSG00000118242	"Hsap38.chr2.215978054.215978920.+"
ENSG00000179088	"Hsap38.chr12.103437760.103439304.+"
ENSG00000261638	"Hsap38.chr16.58875125.58875475.-"
ENSG00000174842	"Hsap38.chr1.92256531.92257130.+"
ENSG00000226476	"Hsap38.chr1.60604922.60605521.+"
ENSG00000277851	"Hsap38.chr12.92315951.92319802.+"
ENSG00000197826	"Hsap38.chr4.80690789.80692078.+"
ENSG00000080644	"Hsap38.chr15.78611224.78611757.+"
ENSG00000249464	"Hsap38.chr4.123724995.123725936.+"
ENSG00000237945	"Hsap38.chr21.33926426.33928099.-"
ENSG00000285409	"Hsap38.chr1.80000038.80001273.+"
ENSG00000242440	"Hsap38.chr3.148303465.148306416.+"
ENSG00000258733	"Hsap38.chr14.86074711.86076885.-"
ENSG00000130226	"Hsap38.chr7.154456686.154457240.-"
ENSG00000232667	"Hsap38.chr7.80327014.80327502.+"
ENSG00000223475	"Hsap38.chr7.55579368.55579841.-"
ENSG00000012048	"Hsap38.chr17.43161371.43162057.-"
ENSG00000267002	"Hsap38.chr17.43161371.43162057.-"
ENSG00000164144	"Hsap38.chr4.152824136.152824672.+"
ENSG00000185008	"Hsap38.chr3.76445438.76447714.+"
ENSG00000127124	"Hsap38.chr1.41968221.41969339.+"
ENSG00000273540	"Hsap38.chr15.86720748.86722838.+"
ENSG00000184005	"Hsap38.chr1.76456650.76457480.+"
ENSG00000237505	"Hsap38.chr1.88344984.88347176.+"
ENSG00000272968	"Hsap38.chr7.5021367.5021924.-"
ENSG00000225554	"Hsap38.chr1.241426502.241427245.-"
ENSG00000196204	"Hsap38.chr7.5021367.5021924.-"
ENSG00000065243	"Hsap38.chr1.88714530.88715552.-"
ENSG00000257545	"Hsap38.chr12.106547295.106548476.-"
ENSG00000142856	"Hsap38.chr1.63504715.63505611.-"
ENSG00000170430	"Hsap38.chr10.129733253.129735211.-"
ENSG00000120820	"Hsap38.chr12.104004000.104004818.+"
ENSG00000178425	"Hsap38.chr6.116183834.116184223.-"
ENSG00000197980	"Hsap38.chr3.156880806.156881927.+"
ENSG00000225151	"Hsap38.chr15.84219891.84220439.+"
ENSG00000237896	"Hsap38.chr7.81178629.81179294.-"
ENSG00000257242	"Hsap38.chr12.92017375.92017839.-"
ENSG00000275131	"Hsap38.chr1.120677156.120677446.+"
ENSG00000284696	"Hsap38.chr1.50241715.50242668.-"
ENSG00000163320	"Hsap38.chr3.88098860.88099210.+"
ENSG00000198765	"Hsap38.chr1.114936242.114936607.+"
ENSG00000181458	"Hsap38.chr3.100573380.100573751.-"
ENSG00000251061	"Hsap38.chr4.170357184.170358803.-"
ENSG00000283000	"Hsap38.chr10.34971378.34972289.+"
ENSG00000258170	"Hsap38.chr12.82482986.82483372.+"
ENSG00000278897	"Hsap38.chr19.11856569.11857282.-"
ENSG00000250062	"Hsap38.chr4.86137097.86138908.+"
ENSG00000154447	"Hsap38.chr4.169190582.169191139.+"
ENSG00000170310	"Hsap38.chr17.9563981.9564484.+"
ENSG00000060749	"Hsap38.chr11.32941452.32943893.-"
ENSG00000169855	"Hsap38.chr3.79129743.79132739.-"
ENSG00000122482	"Hsap38.chr1.91000706.91001911.+"
ENSG00000138639	"Hsap38.chr4.85891180.85893243.-"
ENSG00000236671	"Hsap38.chr10.52237086.52239113.+"
ENSG00000127720	"Hsap38.chr12.82422409.82422858.+"
ENSG00000257894	"Hsap38.chr12.79495122.79495562.-"
ENSG00000185532	"Hsap38.chr10.52237086.52239113.+"
ENSG00000258902	"Hsap38.chr14.85368891.85369232.-"
ENSG00000249752	"Hsap38.chr4.149043092.149043547.+"
ENSG00000224467	"Hsap38.chr2.161143014.161143418.-"
ENSG00000250354	"Hsap38.chr4.148188466.148188999.-"
ENSG00000151623	"Hsap38.chr4.148319389.148320015.-"
ENSG00000114107	"Hsap38.chr3.138522395.138523639.+"
ENSG00000259035	"Hsap38.chr14.81861032.81862831.+"
ENSG00000171488	"Hsap38.chr1.89747248.89749929.-"
ENSG00000261423	"Hsap38.chr15.72429938.72431347.-"
ENSG00000137462	"Hsap38.chr4.153693045.153693425.-"
ENSG00000271949	"Hsap38.chr1.89747248.89749929.-"
ENSG00000230735	"Hsap38.chr1.89665022.89665522.-"
ENSG00000237773	"Hsap38.chr7.17218966.17220789.+"
ENSG00000236039	"Hsap38.chr7.17417614.17418297.+"
ENSG00000106546	"Hsap38.chr7.17218966.17220789.+"
ENSG00000154678	"Hsap38.chr7.32084265.32086685.+"
ENSG00000272047	"Hsap38.chr6.158179229.158180044.-"
ENSG00000233235	"Hsap38.chr1.89329292.89329972.+"
ENSG00000283321	"Hsap38.chr7.17417614.17418297.+"
ENSG00000183347	"Hsap38.chr1.89371191.89372315.+"
ENSG00000236318	"Hsap38.chr7.17417614.17418297.+"
ENSG00000145439	"Hsap38.chr4.168938966.168939520.+"
ENSG00000147099	"Hsap38.chrX.72443584.72444495.+"
ENSG00000074527	"Hsap38.chr12.95778929.95779915.+"
ENSG00000073711	"Hsap38.chr3.136032717.136033229.-"
ENSG00000203335	"Hsap38.chr7.154057286.154057705.+"
ENSG00000225492	"Hsap38.chr1.89414211.89415737.-"
ENSG00000105967	"Hsap38.chr7.115948583.115949485.+"
ENSG00000225672	"Hsap38.chr1.111011851.111012273.+"
ENSG00000136560	"Hsap38.chr2.161143014.161143418.-"
ENSG00000237975	"Hsap38.chr1.152431432.152434815.-"
ENSG00000042317	"Hsap38.chr14.88444070.88446142.-"
ENSG00000058804	"Hsap38.chr1.53815477.53815992.+"
ENSG00000113318	"Hsap38.chr5.80843120.80843851.-"
ENSG00000171291	"Hsap38.chr19.11858809.11859669.-"
ENSG00000134030	"Hsap38.chr18.48652749.48653165.+"
ENSG00000198815	"Hsap38.chr1.42252766.42253752.+"
ENSG00000152380	"Hsap38.chr5.80529907.80531016.+"
ENSG00000135272	"Hsap38.chr7.114992553.114992945.-"
ENSG00000117009	"Hsap38.chr1.241574020.241574403.-"
ENSG00000170921	"Hsap38.chr17.63300667.63301578.-"
ENSG00000122042	"Hsap38.chr13.29825675.29826088.-"
ENSG00000186866	"Hsap38.chr21.45273519.45274298.+"
ENSG00000198626	"Hsap38.chr1.237077440.237081072.+"
ENSG00000134201	"Hsap38.chr1.109743383.109745716.-"
ENSG00000128881	"Hsap38.chr15.42888596.42889258.+"
ENSG00000163785	"Hsap38.chr3.134097645.134099021.-"
ENSG00000274020	"Hsap38.chr1.148324285.148324569.-"
ENSG00000089169	"Hsap38.chr12.112624305.112627001.+"
ENSG00000283072	"Hsap38.chr20.22738147.22738845.+"
ENSG00000255523	"Hsap38.chr11.58926095.58926427.-"
ENSG00000255240	"Hsap38.chr11.59019009.59019641.+"
ENSG00000154978	"Hsap38.chr7.55454204.55454746.+"
ENSG00000166840	"Hsap38.chr11.59019009.59019641.+"
ENSG00000234426	"Hsap38.chr6.88355826.88357514.+"
ENSG00000225328	"Hsap38.chr2.108196783.108197640.+"
ENSG00000237136	"Hsap38.chr4.145701991.145702398.+"
ENSG00000255189	"Hsap38.chr11.58985570.58986070.-"
ENSG00000242808	"Hsap38.chr3.181159097.181159876.+"
ENSG00000198673	"Hsap38.chr12.61943399.61946869.+"
ENSG00000229642	"Hsap38.chr3.6032506.6033270.-"
ENSG00000169288	"Hsap38.chr4.77889744.77890862.+"
ENSG00000145075	"Hsap38.chr3.180674107.180674973.-"
ENSG00000246022	"Hsap38.chr3.126190509.126190874.-"
ENSG00000253377	"Hsap38.chr8.31371761.31372399.-"
ENSG00000284862	"Hsap38.chr3.180674107.180674973.-"
ENSG00000237498	"Hsap38.chr2.82516406.82517401.+"
ENSG00000260922	"Hsap38.chr16.77256131.77256832.-"
ENSG00000114544	"Hsap38.chr3.126093341.126093766.+"
ENSG00000243069	"Hsap38.chr3.154072982.154073338.+"
ENSG00000138764	"Hsap38.chr4.77394769.77395455.-"
ENSG00000155974	"Hsap38.chr12.66582095.66584200.+"
ENSG00000284606	"Hsap38.chr8.8198317.8199612.+"
ENSG00000249001	"Hsap38.chr4.87713951.87715966.+"
ENSG00000165084	"Hsap38.chr8.68363840.68366557.+"
ENSG00000086991	"Hsap38.chr11.89430013.89431359.+"
ENSG00000236753	"Hsap38.chr7.131319325.131319702.+"
ENSG00000100916	"Hsap38.chr14.35839810.35840379.-"
ENSG00000284624	"Hsap38.chr3.125800612.125801256.-"
ENSG00000183423	"Hsap38.chr4.109858500.109859189.-"
ENSG00000162623	"Hsap38.chr1.74741250.74741879.-"
ENSG00000225466	"Hsap38.chrY.23595649.23596344.-"
ENSG00000237324	"Hsap38.chr1.74348673.74349293.-"
ENSG00000285330	"Hsap38.chr4.109778861.109779181.+"
ENSG00000261833	"Hsap38.chr16.76609844.76611643.+"
ENSG00000081479	"Hsap38.chr2.169251736.169254435.+"
ENSG00000078725	"Hsap38.chr9.119172752.119173927.+"
ENSG00000228853	"Hsap38.chr1.71813842.71814303.-"
ENSG00000111906	"Hsap38.chr6.125282945.125283598.+"
ENSG00000007001	"Hsap38.chr2.157966535.157967137.-"
ENSG00000259823	"Hsap38.chr1.248724795.248726774.-"
ENSG00000181450	"Hsap38.chr1.227629067.227629678.-"
ENSG00000234304	"Hsap38.chr7.52892474.52893514.-"
ENSG00000125703	"Hsap38.chr1.62812496.62813254.+"
ENSG00000244040	"Hsap38.chr3.160119837.160120181.+"
ENSG00000214216	"Hsap38.chr3.159095585.159099433.-"
ENSG00000249790	"Hsap38.chr12.8792617.8793540.+"
ENSG00000244607	"Hsap38.chr3.42738721.42739080.-"
ENSG00000127328	"Hsap38.chr12.69775038.69777479.-"
ENSG00000224081	"Hsap38.chr1.94762225.94763400.+"
ENSG00000171759	"Hsap38.chr12.102859848.102860303.+"
ENSG00000248388	"Hsap38.chr4.176695841.176696788.+"
ENSG00000173421	"Hsap38.chr3.49226295.49227305.-"
ENSG00000143552	"Hsap38.chr1.154066947.154067669.+"
ENSG00000275585	"Hsap38.chr1.120989385.120989849.-"
ENSG00000111490	"Hsap38.chr12.64849943.64850557.-"
ENSG00000273136	"Hsap38.chr1.120788339.120788914.-"
ENSG00000155893	"Hsap38.chr3.141297654.141298529.-"
ENSG00000174473	"Hsap38.chr4.172298532.172300157.-"
ENSG00000240216	"Hsap38.chr3.149263800.149264123.+"
ENSG00000139324	"Hsap38.chr12.88181590.88182105.-"
ENSG00000242267	"Hsap38.chr1.48153693.48155321.+"
ENSG00000189157	"Hsap38.chr4.76225474.76225899.-"
ENSG00000229102	"Hsap38.chr3.179127631.179129373.-"
ENSG00000091831	"Hsap38.chr6.151931673.151933739.-"
ENSG00000237223	"Hsap38.chr2.108336291.108338510.+"
ENSG00000249109	"Hsap38.chr5.177787793.177789088.-"
